key,English,Assamese,Bengali,Bhojpuri,Gujarati,Haryanvi,Hindi,Kannada,Malayalam,Marathi,Telugu,Odia,Punjabi,Rajasthani,Tamil,Urdu,
app_name,livestream,লাইভষ্ট্ৰীম,লাইভস্ট্রিম ,लाइव स्ट्रीम,લાઇવ સ્ટ્રીમ,लाइव स्ट्रीम,लाइव स्ट्रीम,ಲೈವ್ ಸ್ಟ್ರೀಮ್,ലൈവ് സ്ട്രീം ,लाईव्हस्ट्रीम,లైవ్​స్ట్రీమ్​,ଲାଇଭଷ୍ଟ୍ରୀମ୍,ਲਾਈਵ ਸਟ੍ਰੀਮ ,लाइव स्ट्रीम ,லைவ்ஸ்ட்ரீம் ,لائیو سٹریم,
add_keywords,"Add Keyword1, keyword2, ...","কীৱৰ্ড 1, কীৱৰ্ড 2, ...এড কৰক ","কীওয়ার্ড 1, কীওয়ার্ড 2 অ্যাড করুন  ","कीवर्ड 1, कीवर्ड 2,... जोड़ीं","કીવર્ડ 1, કીવર્ડ 2,... ઉમેરો","कीवर्ड 1, कीवर्ड 2,... जोड़ो ","कीवर्ड 1, कीवर्ड 2,... जोड़ें","ಕೀವರ್ಡ್ 1, ಕೀವರ್ಡ್ 2, ... ಸೇರಿಸಿ"," കീവേഡ് 1, കീവേഡ് 2, ആഡ് ചെയ്യൂ","Keyword1, keyword2,, ... ॲड करा ","కీవర్డ్​ 1, కీవర్డ్ 2,... జోడించండి","Keyword1, keyword2, ... ଆଡ୍‌ କରନ୍ତୁ","ਕੀਵਰਡ1, ਕੀਵਰਡ2, ... ਸ਼ਾਮਲ ਕਰੋ","कीवर्ड 1, कीवर्ड 2,...जोड़ो  ","சேர்க்கவும் Keyword1, keyword2..",Keyword1، keyword2،... شامل کریں,
comments_filter,Comment Filters,কমেণ্ট ফিল্টাৰ,কমেন্ট ফিল্টার,कमेंट फिल्टर्स ,કમેન્ટ ફિલ્ટર્સ,कमेंट फिल्टर्स ,कमेंट फिल्टर्स ,ಕಾಮೆಂಟ್ ಫಿಲ್ಟರ್ಸ್,കമന്റ് ഫിൽറ്റേഴ്സ് ,कमेंट फिल्टर्स,కామెంట్ ఫిల్టర్స్​,କମେଣ୍ଟ ଫିଲ୍ଟର୍ସ,ਕਮੈਂਟ ਫਿਲਟਰ,कमेंट फिल्टर्स ,கமெண்ட் ஃபில்ட்டர்ஸ் ,کمنٹ فلٹرز,
comments_filter_desc1,We will automatically hide spam or offensive chats in your livestream.,আপোনাৰ লাইভষ্ট্ৰীমৰ স্পাম বা আপত্তিজনক চাট আমি নিজেই হাইড কৰি দিম,আপনার লাইভস্ট্রিমে স্প্যাম বা আপত্তিকর চ্যাট আমরা নিজের থেকেই হাইড করে দেব ,हमनी जा राउर लाइवस्ट्रीम में स्पैम या आपत्तिजनक चैट के खुद से ही हाइड कर देहेम जा।,અમે તમારા લાઇવસ્ટ્રીમમાંથી આપમેળે સ્પામ અથવા અપમાનજનક ચેટ્સ હાઈડ કરી દઇશું.,हम थारी लाइवस्ट्रीम मै स्पैम या आपत्तिजनक चैट नै खुद ही हाइड कर देवैंगे।,हम आपकी लाइवस्ट्रीम में स्पैम या आपत्तिजनक चैट को खुद से ही हाइड कर देंगे।,ನಿಮ್ಮ ಲೈವ್‌ಸ್ಟ್ರೀಮ್‌ನಲ್ಲಿ ನಾವು ಸ್ಪ್ಯಾಮ್ ಅಥವಾ ಆಕ್ಷೇಪಾರ್ಹ ಚಾಟ್‌ಗಳನ್ನು ಸ್ವಯಂಚಾಲಿತವಾಗಿ ಮರೆಮಾಡುತ್ತೇವೆ.,നിങ്ങളുടെ ലൈവ് സ്ട്രീമിലുള്ള സ്പാം അല്ലെങ്കിൽ ഒഫൻസീവ് ചാറ്റുകളും ഓട്ടോമാറ്റിക്കായി ഹൈഡ് ആകും!,आम्ही तुमच्या लाईव्हस्ट्रीममधील स्पॅम किंवा आक्षेपार्ह चॅट स्वतःहूनच लपवू.,"మీ లైవ్​స్ట్రీమ్​లో స్పామ్​, అసభ్యకరమైన కామెంట్స్​ను ఆటోమేటిక్​గా హైడ్​ చేస్తాము",ଆମେ ସ୍ବୟଂଚାଳିତ ଭାବେ ସ୍ପାମ୍‌ ବା ଅଶ୍ଳୀଳ ଚାଟ୍‌ ଆପଣଙ୍କ ଲାଇଭଷ୍ଟ୍ରୀମ୍‌ରୁ ହଟାଇଦେବୁ,ਅਸੀਂ ਤੁਹਾਡੀ ਲਾਈਵਸਟ੍ਰੀਮ ਵਿੱਚ ਸਪੈਮ ਜਾਂ ਅਪਮਾਨਜਨਕ ਚੈਟ ਨੂੰ ਆਪਣੇ ਆਪ ਹਾਈਡ ਕਰ ਦੇਵਾਂਗੇ।,म्हे आपरी लाइवस्ट्रीम में स्पैम या आपत्तिजनक चैट ने ऑटोमेटिक ही हाईड करे देंआं।,உங்கள் லைவ்ஸ்ட்ரீமில் ஸ்பேம் அல்லது தவறான சாட்களை  நாங்கள் தானாகவே மறைப்போம்.,ہم خود بخود آپ کے لائیو اسٹریم میں اسپیم یا جارحانہ چیٹس کو چھپا دیں گے,
comments_filter_desc2,"You can also create your own list of words, phrases, and emojis that you would like to be hidden in your livestream comments by adding them below (Max -100)","আপুনি নিজেও সেই বিশেষ শব্দ, বাক্য আৰু ইমোজিৰ এখন তালিকা ক্ৰিয়েট কৰিব পাৰে, যিবোৰ আপোনাৰ লাইভষ্ট্ৰীম কমেণ্ট শাখাত হাইড হৈ থকাটো বিচাৰে (সৰ্বাধিক -100)  ","এছাড়াও আপনি নিজেও আপনার নিজের শব্দ, বাক্যাংশ এবং ইমোজিগুলির তালিকা তৈরি করতে পারেন যা আপনি নীচে অ্যাড করে আপনার লাইভস্ট্রিম কমেন্টে হাইড করে রাখতে চান (সর্বোচ্চ -100)","रउवा उ शब्द, वाक्यांश अउर इमोजी के आपन लिस्ट भी बना सकेनी जेकरा के रउवा नीचे आपन लाइवस्ट्रीम कमेंट्स में हाइड करके रखल चाहत बानी (अधिकतम -100)","તમે તમારી લાઇવસ્ટ્રીમ કમેન્ટમાંથી છૂપાવવા માંગતા હોવ તેવા શબ્દો, લખાણ અને ઇમોજીસની તમારી પોતાની લીસ્ટ પણ બનાવી શકો છો જેને તમે નીચેથી ઉમેરી શકો છો (મહત્તમ -100)","थाम उन शब्दों, वाक्यांशों अर इमोजी की आपणी लिस्ट भी बणा सको सो जिन्हें थाम नीचे आपणे लाइवस्ट्रीम कमेंट्स मै हाइड करकै रखणा चाहो सो (ज्यादा तै ज्यादा -100)","आप उन शब्दों, वाक्यांशों और इमोजी की अपनी लिस्ट भी बना सकते हैं जिन्हें आप नीचे अपने लाइवस्ट्रीम कमेंट्स में हाइड करके रखना चाहते हैं (अधिकतम -100)","ನಿಮ್ಮ ಲೈವ್‌ಸ್ಟ್ರೀಮ್ ಕಾಮೆಂಟ್‌ಗಳಲ್ಲಿ (-100 ವರೆಗೆ) ನೀವು ಮರೆಮಾಡಲು ಬಯಸುವ ಪದಗಳು, ನುಡಿಗಟ್ಟುಗಳು ಮತ್ತು ಇಮೋಜಿಗಳನ್ನು ಸೇರಿಸುವ ಮೂಲಕ ನಿಮ್ಮ ಸ್ವಂತ ಪಟ್ಟಿಯನ್ನು ನೀವು ಕೆಳಗೆ ರಚಿಸಬಹುದು.","നിങ്ങളുടെ ലൈവ് സ്ട്രീം കമന്റുകളിൽ ഹൈഡ് ചെയ്യണം എന്നാഗ്രഹമുള്ള വാക്കുകൾ, ഫ്രേസസ്, ഇമോജികൾ എന്നിവ നിങ്ങൾക്ക് ലിസ്റ്റ് ചെയ്തിടാവുന്നതാണ്. (മാക്സ്- 100)","तुम्ही तुमच्या खाली दिलेल्या लाईव्हस्ट्रीम कमेंटमध्ये लपवू इच्छित असलेले शब्द, वाक्ये आणि इमोजींची तुमची स्वतःची लिस्ट देखील तयार करू शकता (कमाल -100)","మీరు మీ లైవ్ స్ట్రీమ్ చాట్​లో హైడ్ చేయాలనుకున్న పదాలు, ప్యారాలు, ఎమోజీల జాబితాను మీరు సొంతంగా క్రియేట్ చేసి దిగువన జోడించవచ్చు. (గరిష్టంగా -100)","ଆପଣ ନିଜର ଶବ୍ଦ, ଫ୍ରେଜ୍ ଏବଂ ଇମୋଜିର ନିଜସ୍ୱ ତାଲିକା ମଧ୍ୟ କ୍ରିଏଟ୍‌  କରିପାରିବେ, ଯାହାକୁ ଆପଣ ଆଡ୍ କରି ଆପଣଙ୍କର ଲାଇଭଷ୍ଟ୍ରୀମ୍ କମେଣ୍ଟରେ ହାଇଡ୍ ହେବାକୁ ଚାହୁଁଥିବେ (ସର୍ବାଧିକ -100)।","ਤੁਸੀਂ ਉਨ੍ਹਾਂ ਸ਼ਬਦਾਂ, ਵਾਕਾਂਸ਼ਾਂ ਅਤੇ ਇਮੋਜੀਸ ਦੀ ਆਪਣੀ ਖ਼ੁਦ ਦੀ ਲਿਸਟ ਬਣਾ ਸਕਦੇ ਹੋ ਜੋ ਤੁਸੀਂ ਹੇਠਾਂ ਆਪਣੇ ਲਾਈਵਸਟ੍ਰੀਮ ਕਮੈਂਟਸ ਵਿੱਚ ਹਾਈਡ ਕਰਕੇ ਰੱਖਣਾ ਚਾਹੁੰਦੇ ਹੋ (ਅਧਿਕਤਮ -100)","आप वा शब्दां, वाक्यांश और इमोजी री आपरी सूची भी बणा सको हो जिन्हें आप नीचे आपरी लाइवस्ट्रीम कमेंट्स में हाईड करके राखबो चाहो हो (अधिकतम -100)","உங்கள் லைவ்ஸ்ட்ரீம் கமெண்ட்களில் மறைக்க விரும்பும் வார்த்தைகள், சொற்றொடர்கள் மற்றும் எமோஜிகளை கீழே இணைத்து உங்கள் பட்டியலை நீங்களே உருவாக்கலாம் (அதிகபட்சம் -100)",آپ ان الفاظ، فقروں اور ایموجیز کی اپنی فہرست بھی بنا سکتے ہیں، جنہیں آپ اپنے لائیو اسٹریم کمنٹس میں نیچے شامل کر کے چھپانا چاہیں گے (زیادہ سے زیادہ -100),
add,Add ,এড কৰক,অ্যাড,जोड़ीं,ઉમેરો,जोड़ो,जोड़ें,ಸೇರಿಸಿ,ആഡ്,ॲड,జోడించండి,ଆଡ୍‌ କରନ୍ତୁ,ਸ਼ਾਮਲ ਕਰੋ,जोड़ो ,இணை ,شامل کریں,
mention,Mention in comment/Reply,কমেণ্টত মেনচন কৰক/ৰিপ্লাই কৰক,কমেন্ট/রিপ্লাইয়ে মেনশন,कमेंट में मेंशन करीं/जवाब,કમેન્ટમાં ઉલ્લેખ કરો/રીપ્લાય કરો,कमेंट मै मेंशन करो/जवाब दो,कमेंट में मेंशन करें/जवाब,ಕಾಮೆಂಟ್/ರಿಪ್ಲೈ ಉಲ್ಲೇಖಿಸಿ,കമന്റിൽ/റിപ്ലൈയിൽ മെൻഷൻ ചെയ്യൂ,कमेंटमध्ये मेन्शन करा/रिप्लाय द्या ,కామెంట్/రిఫ్లైలో పేర్కొనండి,କମେଣ୍ଟ / ରିପ୍ଲାଇରେ ଉଲ୍ଲେଖ କରନ୍ତୁ,ਕਮੈਂਟ ਵਿੱਚ ਮੈਂਸ਼ਨ ਕਰੋ/ਜਵਾਬ,कमेंट में मेंशन करो/ जवाब दो  ,கமெண்ட் / ரிப்லேயில் குறிப்பிடவும் ,کمنٹ/جواب میں ذکر کریں,
pin_comment,Pin the comment,কমেণ্ট পিন কৰক,কমেন্ট পিন করুন ,कमेंट पिन करीं,કમેન્ટ પીન કરો,कमेंट पिन करो,कमेंट पिन करें,ಕಾಮೆಂಟ್ ಪಿನ್ ಮಾಡಿ,കമന്റ് പിൻ  ചെയ്യൂ,कमेंट पिन करा,కామెంట్ పిన్ చేయండి,କମେଣ୍ଟକୁ ପିନ୍ କରନ୍ତୁ,ਕਮੈਂਟ ਪਿੰਨ ਕਰੋ,कमेंट पिन करो ,கமெண்டை  பின் செய்யவும் ,کمنٹ کو پِن کریں,
unpin_comment,Unpin the comment,কমেণ্ট আনপিন কৰক,কমেন্ট আনপিন করুন ,कमेंट के अनपिन करीं,કમેન્ટ અનપીન કરો,कमेंट नै अनपिन करो,कमेंट को अनपिन करें,ಕಾಮೆಂಟ್ ಅನ್‌ಪಿನ್ ಮಾಡಿ,കമന്റ് അൺപിൻ  ചെയ്യൂ,कमेंटला अनपिन करा,కామెంట్ అన్​పిన్ చేయండి,କମେଣ୍ଟକୁ ଅନପିନ୍ କରନ୍ତୁ,ਕਮੈਂਟ ਅਨਪਿੰਨ ਕਰੋ,कमेंट अनपिन करो  ,கமெண்டை பின் செய்ய வேண்டாம் ,کمنٹ کو اَن پِن کریں,ِ
add_to_live,Add to Live streaming,লাইভ ষ্ট্ৰীমিঙত এড কৰক,লাভ স্ট্রিমিংয়ে অ্যাড করুন ,लाइव स्ट्रीमिंग में जोड़ीं,લાઇવ સ્ટ્રીમિંગમાં ઉમેરો,लाइव स्ट्रीमिंग मै जोड़ो,लाइव स्ट्रीमिंग में जोड़ें,"
ಲೈವ್ ಸ್ಟ್ರೀಮಿಂಗ್‌ಗೆ ಸೇರಿಸಿ",ലൈവ് സ്ട്രീമിൽ ആഡ്  ചെയ്യൂ,लाईव्ह स्ट्रीमिंग ॲड करा,లైవ్ స్ట్రీమింగ్​కు జోడించండి,ଲାଇଭଷ୍ଟ୍ରୀମିଂରେ ଯୋଡ଼ନ୍ତୁ,ਲਾਈਵ ਸਟ੍ਰੀਮਿੰਗ ਵਿੱਚ ਸ਼ਾਮਲ ਕਰੋ,लाइव स्ट्रीमिंग में जोड़ो ,லைவ் ஸ்ட்ரீமிங்கில் இணைக்கவும் ,لائیو سٹریمنگ میں شامل کریں,
